GRD,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,162,1.0,1196863.67,1196863.67,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,99,1.0,1417049.0518,1417049.0518,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,76,1.0,1417049.0518,1417049.0518,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,52,1.0,1417049.0518,1417049.0518,0.0
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,52,1.0,1644300.0,1644300.0,0.0
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,45,1.0,1757700.0,1757700.0,0.0
"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",45,1.0,1834650.0,1834650.0,0.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,38,1.0,1196863.67,1196863.67,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,36,1.0,1855963.777,1855963.777,0.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,35,1.0,1196863.67,1196863.67,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,35,1.0,1417049.0518,1417049.0518,0.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,32,1.0,1010400.0,1010400.0,0.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,31,1.0,1092999.5883,1092999.5883,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,31,1.0,730800.0,730800.0,0.0
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,30,1.0,1682533.4101,1682533.4101,0.0
"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",30,1.0,798450.0,798450.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,30,1.0,1855963.777,1855963.777,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,24,1.0,1417049.0518,1417049.0518,0.0
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,23,1.0,807150.0,807150.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,22,1.0,1855963.777,1855963.777,0.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,20,1.0,986870.5578,986870.5578,0.0
061142 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL W/CC,18,1.0,1466392.5797,1466392.5797,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,17,1.0,869850.0,869850.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,17,1.0,1855963.777,1855963.777,0.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,16,1.0,2691244.5458,2691244.5458,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,15,1.0,1313993.8805,1313993.8805,0.0
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,15,1.0,1199100.0,1199100.0,0.0
061122 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/CC,14,1.0,1670237.9736,1670237.9736,0.0
074102 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/CC,14,1.0,1037700.0,1037700.0,0.0
"064132 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL W/CC",12,1.0,1020000.0,1020000.0,0.0
"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",12,1.0,798450.0,798450.0,0.0
"074132 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/CC",12,1.0,1065150.0,1065150.0,0.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,12,1.0,2691244.5458,2691244.5458,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,11,1.0,1313993.8805,1313993.8805,0.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,10,1.0,1196863.67,1196863.67,0.0
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,10,1.0,1682533.4101,1682533.4101,0.0
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,10,1.0,1682533.4101,1682533.4101,0.0
061133 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/MCC,9,1.0,1798531.1461,1798531.1461,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,9,1.0,1313993.8805,1313993.8805,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,9,1.0,730800.0,730800.0,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,9,1.0,869850.0,869850.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,9,1.0,1855963.777,1855963.777,0.0
074122 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS W/CC,9,1.0,1061250.0,1061250.0,0.0
061122 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/CC,8,1.0,1670237.9736,1670237.9736,0.0
061122 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/CC,8,1.0,1670237.9736,1670237.9736,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,8,1.0,1313993.8805,1313993.8805,0.0
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,8,1.0,1757700.0,1757700.0,0.0
074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,8,1.0,1724250.0,1724250.0,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,8,1.0,1417049.0518,1417049.0518,0.0
074123 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS W/MCC,8,1.0,1862400.0,1862400.0,0.0
074123 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS W/MCC,8,1.0,1862400.0,1862400.0,0.0
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,7,1.0,1199100.0,1199100.0,0.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,7,1.0,2691244.5458,2691244.5458,0.0
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,7,1.0,1199100.0,1199100.0,0.0
061133 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/MCC,6,1.0,1798531.1461,1798531.1461,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,6,1.0,869850.0,869850.0,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,6,1.0,869850.0,869850.0,0.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,6,1.0,2691244.5458,2691244.5458,0.0
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,6,1.0,1199100.0,1199100.0,0.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,6,1.0,1010400.0,1010400.0,0.0
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,5,1.0,2020657.9127,2020657.9127,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,5,1.0,1313993.8805,1313993.8805,0.0
061202 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/CC,5,1.0,2585115.5154,2585115.5154,0.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,5,1.0,986870.5578,986870.5578,0.0
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,5,1.0,1757700.0,1757700.0,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,5,1.0,1417049.0518,1417049.0518,0.0
074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,5,1.0,1724250.0,1724250.0,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,5,1.0,1417049.0518,1417049.0518,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,5,1.0,1417049.0518,1417049.0518,0.0
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,5,1.0,807150.0,807150.0,0.0
074122 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS W/CC,5,1.0,1061250.0,1061250.0,0.0
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,5,1.0,807150.0,807150.0,0.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,5,1.0,1010400.0,1010400.0,0.0
041023 - PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,5,1.0,9416848.2886,9416848.2886,0.0
041203 - PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC,5,1.0,3417322.4251,3417322.4251,0.0
064121 - MH ENFERMEDADES ESOFÁGICAS,4,1.0,688050.0,688050.0,0.0
064122 - MH ENFERMEDADES ESOFÁGICAS W/CC,4,1.0,950850.0,950850.0,0.0
064123 - MH ENFERMEDADES ESOFÁGICAS W/MCC,4,1.0,1498650.0,1498650.0,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,4,1.0,1313993.8805,1313993.8805,0.0
041023 - PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,4,1.0,9416848.2886,9416848.2886,0.0
064143 - MH INSUFICIENCIA VASCULAR GASTROINTESTINAL W/MCC,4,1.0,1768050.0,1768050.0,0.0
061112 - PH LISIS DE ADHERENCIAS PERITONEALES W/CC,4,1.0,1955297.961,1955297.961,0.0
061113 - PH LISIS DE ADHERENCIAS PERITONEALES W/MCC,4,1.0,3415704.6045,3415704.6045,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,4,1.0,730800.0,730800.0,0.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,4,1.0,1010400.0,1010400.0,0.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,4,1.0,986870.5578,986870.5578,0.0
061502 - PH PROCEDIMIENTOS SOBRE ANO W/CC,4,1.0,1438242.5015,1438242.5015,0.0
064182 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/CC,4,1.0,1010400.0,1010400.0,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,4,1.0,730800.0,730800.0,0.0
074103 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS W/MCC,4,1.0,1757700.0,1757700.0,0.0
074101 - MH HEPATITIS ALCOHÓLICA Y CIRROSIS,4,1.0,778500.0,778500.0,0.0
"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",4,1.0,1834650.0,1834650.0,0.0
074142 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/CC,4,1.0,1199100.0,1199100.0,0.0
074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,4,1.0,1724250.0,1724250.0,0.0
071141 - PH COLECISTECTOMÍA LAPAROSCÓPICA,4,1.0,1417049.0518,1417049.0518,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,4,1.0,1855963.777,1855963.777,0.0
074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,4,1.0,1724250.0,1724250.0,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,4,1.0,869850.0,869850.0,0.0
071142 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/CC,4,1.0,1855963.777,1855963.777,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,4,1.0,869850.0,869850.0,0.0
074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,4,1.0,1724250.0,1724250.0,0.0
074121 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS,4,1.0,807150.0,807150.0,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,4,1.0,730800.0,730800.0,0.0
061203 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/MCC,3,1.0,5767045.0451,5767045.0451,0.0
064113 - MH GASTRITIS Y ÚLCERA PÉPTICA W/MCC,3,1.0,1570200.0,1570200.0,0.0
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,3,1.0,2020657.9127,2020657.9127,0.0
061133 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/MCC,3,1.0,1798531.1461,1798531.1461,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,3,1.0,730800.0,730800.0,0.0
061131 - PH PROCEDIMIENTOS SOBRE APÉNDICE,3,1.0,1196863.67,1196863.67,0.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,3,1.0,1092999.5883,1092999.5883,0.0
061142 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL W/CC,3,1.0,1466392.5797,1466392.5797,0.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,3,1.0,1092999.5883,1092999.5883,0.0
041301 - PH PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE APARATO RESPIRATORIO,3,1.0,1758409.1956,1758409.1956,0.0
"064131 - MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA INTESTINAL",3,1.0,798450.0,798450.0,0.0
064171 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS,3,1.0,646050.0,646050.0,0.0
064151 - MH OBSTRUCCIÓN GASTROINTESTINAL,3,1.0,712050.0,712050.0,0.0
064151 - MH OBSTRUCCIÓN GASTROINTESTINAL,3,1.0,712050.0,712050.0,0.0
061203 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/MCC,3,1.0,5767045.0451,5767045.0451,0.0
064151 - MH OBSTRUCCIÓN GASTROINTESTINAL,3,1.0,712050.0,712050.0,0.0
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,3,1.0,2020657.9127,2020657.9127,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,3,1.0,730800.0,730800.0,0.0
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,3,1.0,1644300.0,1644300.0,0.0
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,3,1.0,1644300.0,1644300.0,0.0
061501 - PH PROCEDIMIENTOS SOBRE ANO,3,1.0,986870.5578,986870.5578,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,3,1.0,730800.0,730800.0,0.0
064163 - MH INFECCIONES GASTROINTESTINALES MAYORES W/MCC,3,1.0,2227500.0,2227500.0,0.0
041203 - PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC,3,1.0,3417322.4251,3417322.4251,0.0
"074133 - MH ENFERMEDADES HEPÁTICAS EXCEPTO NEOPLASIAS, CIRROSIS O HEPATITIS ALCOHÓLICA W/MCC",3,1.0,1834650.0,1834650.0,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,3,1.0,869850.0,869850.0,0.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,3,1.0,2691244.5458,2691244.5458,0.0
074141 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR,3,1.0,869850.0,869850.0,0.0
074143 - MH OTRAS ENFERMEDADES DEL SISTEMA BILIAR W/MCC,3,1.0,1724250.0,1724250.0,0.0
071143 - PH COLECISTECTOMÍA LAPAROSCÓPICA W/MCC,3,1.0,2691244.5458,2691244.5458,0.0
074122 - MH ENFERMEDADES DE PÁNCREAS EXCEPTO NEOPLASIAS W/CC,3,1.0,1061250.0,1061250.0,0.0
041203 - PH PROCEDIMIENTOS NO COMPLEJOS SOBRE APARATO RESPIRATORIO W/MCC,3,1.0,3417322.4251,3417322.4251,0.0
064183 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO W/MCC,3,1.0,1644300.0,1644300.0,0.0
034141 - MH ENFERMEDADES ORALES Y DENTALES,2,1.0,669300.0,669300.0,0.0
031301 - PH PROCEDIMIENTOS SOBRE BOCA,2,1.0,1031198.8419,1031198.8419,0.0
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,2,1.0,2020657.9127,2020657.9127,0.0
064122 - MH ENFERMEDADES ESOFÁGICAS W/CC,2,1.0,950850.0,950850.0,0.0
064121 - MH ENFERMEDADES ESOFÁGICAS,2,1.0,688050.0,688050.0,0.0
064122 - MH ENFERMEDADES ESOFÁGICAS W/CC,2,1.0,950850.0,950850.0,0.0
064121 - MH ENFERMEDADES ESOFÁGICAS,2,1.0,688050.0,688050.0,0.0
061203 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO W/MCC,2,1.0,5767045.0451,5767045.0451,0.0
064111 - MH GASTRITIS Y ÚLCERA PÉPTICA,2,1.0,845250.0,845250.0,0.0
041023 - PH VENTILACIÓN MECÁNICA PROLONGADA SIN TRAQUEOSTOMÍA W/MCC,2,1.0,9416848.2886,9416848.2886,0.0
061132 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/CC,2,1.0,1682533.4101,1682533.4101,0.0
061401 - PH OTROS PROCEDIMIENTOS SOBRE APARATO DIGESTIVO,2,1.0,1554887.3658,1554887.3658,0.0
061133 - PH PROCEDIMIENTOS SOBRE APÉNDICE W/MCC,2,1.0,1798531.1461,1798531.1461,0.0
064181 - MH OTROS DIAGNÓSTICOS SOBRE APARATO DIGESTIVO,2,1.0,730800.0,730800.0,0.0
061141 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL,2,1.0,1092999.5883,1092999.5883,0.0
061143 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL W/MCC,2,1.0,2495164.6907,2495164.6907,0.0
061121 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL,2,1.0,1313993.8805,1313993.8805,0.0
061142 - PH PROCEDIMIENTOS SOBRE HERNIA INGUINAL Y FEMORAL W/CC,2,1.0,1466392.5797,1466392.5797,0.0
061123 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/MCC,2,1.0,2755148.459,2755148.459,0.0
061201 - PH PROCEDIMIENTOS COMPLEJOS DEL TRACTO DIGESTIVO,2,1.0,2020657.9127,2020657.9127,0.0
061123 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/MCC,2,1.0,2755148.459,2755148.459,0.0
061122 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/CC,2,1.0,1670237.9736,1670237.9736,0.0
061122 - PH PROCEDIMIENTOS SOBRE HERNIA EXCEPTO INGUINAL Y FEMORAL W/CC,2,1.0,1670237.9736,1670237.9736,0.0
064173 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS W/MCC,2,1.0,1086450.0,1086450.0,0.0
064171 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS,2,1.0,646050.0,646050.0,0.0
064172 - MH DOLOR ABDOMINAL Y OTRAS GASTROENTERITIS W/CC,2,1.0,821250.0,821250.0,0.0
064141 - MH INSUFICIENCIA VASCULAR GASTROINTESTINAL,2,1.0,938250.0,938250.0,0.0
