GRD_final,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
06113,201,3.0,1196863.67,1798531.1461,601667.4761000001
07114,151,3.0,1417049.0518,2691244.5458,1274195.494
07114,118,3.0,1417049.0518,2691244.5458,1274195.494
06418,115,3.0,730800.0,1644300.0,913500.0
07114,81,3.0,1417049.0518,2691244.5458,1274195.494
07410,63,3.0,778500.0,1757700.0,979200.0
07413,57,2.0,1065150.0,1834650.0,769500.0
07114,55,3.0,1417049.0518,2691244.5458,1274195.494
06113,54,3.0,1196863.67,1798531.1461,601667.4761000001
06114,50,3.0,1092999.5883,2495164.6907,1402165.1024000002
06113,47,3.0,1196863.67,1798531.1461,601667.4761000001
06413,44,3.0,798450.0,1542300.0,743850.0
07412,40,3.0,807150.0,1862400.0,1055250.0
07414,36,3.0,869850.0,1724250.0,854400.0
07114,36,3.0,1417049.0518,2691244.5458,1274195.494
06112,29,2.0,1313993.8805,1670237.9736,356244.09309999994
06150,24,2.0,986870.5578,1438242.5015,451371.94370000006
06112,21,3.0,1313993.8805,2755148.459,1441154.5784999998
07414,21,3.0,869850.0,1724250.0,854400.0
07414,20,3.0,869850.0,1724250.0,854400.0
06112,19,3.0,1313993.8805,2755148.459,1441154.5784999998
07412,18,3.0,807150.0,1862400.0,1055250.0
06418,16,3.0,730800.0,1644300.0,913500.0
06113,15,3.0,1196863.67,1798531.1461,601667.4761000001
07414,15,3.0,869850.0,1724250.0,854400.0
06413,14,2.0,798450.0,1020000.0,221550.0
07114,14,2.0,1417049.0518,2691244.5458,1274195.494
06418,13,3.0,730800.0,1644300.0,913500.0
07410,11,3.0,778500.0,1757700.0,979200.0
06111,10,3.0,1395370.256,3415704.6045,2020334.3484999998
07414,10,3.0,869850.0,1724250.0,854400.0
06412,9,3.0,688050.0,1498650.0,810600.0
06112,9,2.0,1313993.8805,2755148.459,1441154.5784999998
07114,9,3.0,1417049.0518,2691244.5458,1274195.494
07114,9,3.0,1417049.0518,2691244.5458,1274195.494
07114,9,2.0,1417049.0518,1855963.777,438914.7252
07414,9,3.0,869850.0,1724250.0,854400.0
07412,9,3.0,807150.0,1862400.0,1055250.0
06120,8,2.0,2020657.9127,5767045.0451,3746387.1323999995
06418,8,2.0,730800.0,1010400.0,279600.0
07414,8,2.0,869850.0,1199100.0,329250.0
06114,7,3.0,1092999.5883,2495164.6907,1402165.1024000002
06112,7,2.0,1313993.8805,1670237.9736,356244.09309999994
06414,7,3.0,938250.0,1768050.0,829800.0
06415,7,3.0,712050.0,1518900.0,806850.0
04120,7,3.0,1684636.5769,3417322.4251,1732685.8482000001
06412,6,2.0,688050.0,950850.0,262800.0
06120,6,2.0,2020657.9127,2585115.5154,564457.6026999999
06112,6,2.0,1313993.8805,1670237.9736,356244.09309999994
06417,6,3.0,646050.0,1086450.0,440400.0
06120,6,3.0,2020657.9127,5767045.0451,3746387.1323999995
06150,6,2.0,986870.5578,1438242.5015,451371.94370000006
06150,6,2.0,986870.5578,1438242.5015,451371.94370000006
07410,6,3.0,778500.0,1757700.0,979200.0
07412,6,3.0,807150.0,1862400.0,1055250.0
06418,6,2.0,730800.0,1010400.0,279600.0
06411,5,3.0,845250.0,1570200.0,724950.0
06120,5,2.0,2020657.9127,5767045.0451,3746387.1323999995
06114,5,2.0,1092999.5883,1466392.5797,373392.99139999994
06415,5,2.0,712050.0,1518900.0,806850.0
06120,5,3.0,2020657.9127,5767045.0451,3746387.1323999995
06418,5,2.0,730800.0,1010400.0,279600.0
07413,5,2.0,1065150.0,1834650.0,769500.0
07413,5,2.0,1065150.0,1834650.0,769500.0
07410,5,1.0,1757700.0,1757700.0,0.0
07414,5,2.0,869850.0,1724250.0,854400.0
07114,5,1.0,1417049.0518,1417049.0518,0.0
04102,5,1.0,9416848.2886,9416848.2886,0.0
06412,4,2.0,688050.0,950850.0,262800.0
06418,4,2.0,730800.0,1010400.0,279600.0
06413,4,2.0,798450.0,1020000.0,221550.0
04102,4,1.0,9416848.2886,9416848.2886,0.0
06120,4,3.0,2020657.9127,5767045.0451,3746387.1323999995
06415,4,3.0,712050.0,1518900.0,806850.0
06413,4,2.0,798450.0,1542300.0,743850.0
06120,4,2.0,2020657.9127,5767045.0451,3746387.1323999995
06418,4,2.0,730800.0,1010400.0,279600.0
06418,4,2.0,1010400.0,1644300.0,633900.0
06418,4,2.0,730800.0,1010400.0,279600.0
06416,4,2.0,1397700.0,2227500.0,829800.0
07413,4,2.0,801900.0,1834650.0,1032750.0
03414,3,2.0,669300.0,979800.0,310500.0
06412,3,2.0,688050.0,950850.0,262800.0
06411,3,2.0,845250.0,1074300.0,229050.0
06418,3,2.0,730800.0,1644300.0,913500.0
06113,3,1.0,1196863.67,1196863.67,0.0
06114,3,1.0,1092999.5883,1092999.5883,0.0
04130,3,1.0,1758409.1956,1758409.1956,0.0
06417,3,2.0,646050.0,821250.0,175200.0
06415,3,1.0,712050.0,712050.0,0.0
06150,3,2.0,986870.5578,1438242.5015,451371.94370000006
06150,3,2.0,986870.5578,1438242.5015,451371.94370000006
06150,3,2.0,986870.5578,1438242.5015,451371.94370000006
06150,3,1.0,986870.5578,986870.5578,0.0
06416,3,3.0,1064100.0,2227500.0,1163400.0
06416,3,2.0,1064100.0,2227500.0,1163400.0
06418,3,2.0,730800.0,1644300.0,913500.0
04120,3,1.0,3417322.4251,3417322.4251,0.0
07413,3,2.0,801900.0,1834650.0,1032750.0
06120,3,2.0,2020657.9127,2585115.5154,564457.6026999999
07414,3,1.0,869850.0,869850.0,0.0
04120,3,1.0,3417322.4251,3417322.4251,0.0
03130,2,1.0,1031198.8419,1031198.8419,0.0
06412,2,2.0,688050.0,1498650.0,810600.0
06120,2,1.0,2020657.9127,2020657.9127,0.0
06120,2,2.0,2020657.9127,2585115.5154,564457.6026999999
04102,2,1.0,9416848.2886,9416848.2886,0.0
06120,2,2.0,2585115.5154,5767045.0451,3181929.5297
06140,2,1.0,1554887.3658,1554887.3658,0.0
06120,2,2.0,2020657.9127,5767045.0451,3746387.1323999995
06112,2,1.0,1313993.8805,1313993.8805,0.0
06418,2,2.0,730800.0,1644300.0,913500.0
06120,2,1.0,2020657.9127,2020657.9127,0.0
06418,2,2.0,730800.0,1010400.0,279600.0
06413,2,2.0,798450.0,1020000.0,221550.0
06413,2,2.0,798450.0,1020000.0,221550.0
06417,2,1.0,1086450.0,1086450.0,0.0
06120,2,2.0,2585115.5154,5767045.0451,3181929.5297
06140,2,2.0,1554887.3658,3693160.8351,2138273.4693
06418,2,2.0,730800.0,1644300.0,913500.0
04102,2,1.0,9416848.2886,9416848.2886,0.0
06120,2,2.0,2585115.5154,5767045.0451,3181929.5297
06150,2,1.0,986870.5578,986870.5578,0.0
04120,2,1.0,3417322.4251,3417322.4251,0.0
07110,2,1.0,8517178.2603,8517178.2603,0.0
07413,2,2.0,801900.0,1834650.0,1032750.0
07413,2,1.0,1834650.0,1834650.0,0.0
07112,2,2.0,1740774.9512,2331441.2474,590666.2962000002
07114,2,1.0,1417049.0518,1417049.0518,0.0
07414,2,1.0,869850.0,869850.0,0.0
07112,2,1.0,2331441.2474,2331441.2474,0.0
07113,2,1.0,2605500.0548,2605500.0548,0.0
04102,2,1.0,9416848.2886,9416848.2886,0.0
07111,2,2.0,3136306.9892,5767853.9554,2631546.9662
04102,2,1.0,9416848.2886,9416848.2886,0.0
07111,2,2.0,2217546.6781,3136306.9892,918760.3111
07414,2,2.0,869850.0,1724250.0,854400.0
04102,2,1.0,9416848.2886,9416848.2886,0.0
07112,2,2.0,2331441.2474,4059273.6339,1727832.3864999996
07113,2,2.0,1535958.8649,1949312.0248,413353.1599000001
07412,2,1.0,807150.0,807150.0,0.0
07412,2,2.0,1061250.0,1862400.0,801150.0
06418,2,2.0,730800.0,1010400.0,279600.0
06110,2,2.0,2158334.4446,4473273.922,2314939.4774
06418,2,2.0,730800.0,1644300.0,913500.0
06120,2,1.0,5767045.0451,5767045.0451,0.0
03414,1,1.0,669300.0,669300.0,0.0
03415,1,1.0,644100.0,644100.0,0.0
06120,1,1.0,2020657.9127,2020657.9127,0.0
06412,1,1.0,1498650.0,1498650.0,0.0
06130,1,1.0,1187803.8747,1187803.8747,0.0
06120,1,1.0,2585115.5154,2585115.5154,0.0
06412,1,1.0,1498650.0,1498650.0,0.0
06412,1,1.0,688050.0,688050.0,0.0
06411,1,1.0,1570200.0,1570200.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04101,1,1.0,18935781.0561,18935781.0561,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04102,1,1.0,4991947.2021,4991947.2021,0.0
06411,1,1.0,1570200.0,1570200.0,0.0
06411,1,1.0,1570200.0,1570200.0,0.0
06411,1,1.0,1570200.0,1570200.0,0.0
06411,1,1.0,845250.0,845250.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06411,1,1.0,1074300.0,1074300.0,0.0
06411,1,1.0,1570200.0,1570200.0,0.0
06120,1,1.0,2020657.9127,2020657.9127,0.0
06130,1,1.0,4311491.8634,4311491.8634,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
06111,1,1.0,1395370.256,1395370.256,0.0
06140,1,1.0,3693160.8351,3693160.8351,0.0
06416,1,1.0,1064100.0,1064100.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
06112,1,1.0,1313993.8805,1313993.8805,0.0
06111,1,1.0,1395370.256,1395370.256,0.0
06110,1,1.0,1538385.5958,1538385.5958,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06418,1,1.0,730800.0,730800.0,0.0
06140,1,1.0,3693160.8351,3693160.8351,0.0
06418,1,1.0,730800.0,730800.0,0.0
06114,1,1.0,1092999.5883,1092999.5883,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
09140,1,1.0,2369460.0312,2369460.0312,0.0
06114,1,1.0,1466392.5797,1466392.5797,0.0
06120,1,1.0,2585115.5154,2585115.5154,0.0
06140,1,1.0,1554887.3658,1554887.3658,0.0
06140,1,1.0,2115785.7632,2115785.7632,0.0
06418,1,1.0,1010400.0,1010400.0,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06418,1,1.0,730800.0,730800.0,0.0
06110,1,1.0,1538385.5958,1538385.5958,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
06110,1,1.0,1538385.5958,1538385.5958,0.0
06112,1,1.0,1313993.8805,1313993.8805,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
06112,1,1.0,1670237.9736,1670237.9736,0.0
06110,1,1.0,2158334.4446,2158334.4446,0.0
06120,1,1.0,2020657.9127,2020657.9127,0.0
06140,1,1.0,2115785.7632,2115785.7632,0.0
07112,1,1.0,1740774.9512,1740774.9512,0.0
04130,1,1.0,4405487.2394,4405487.2394,0.0
06112,1,1.0,1670237.9736,1670237.9736,0.0
06112,1,1.0,1670237.9736,1670237.9736,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06418,1,1.0,730800.0,730800.0,0.0
06111,1,1.0,3415704.6045,3415704.6045,0.0
06413,1,1.0,798450.0,798450.0,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06413,1,1.0,1542300.0,1542300.0,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06417,1,1.0,646050.0,646050.0,0.0
06140,1,1.0,3693160.8351,3693160.8351,0.0
06414,1,1.0,1768050.0,1768050.0,0.0
06414,1,1.0,1184850.0,1184850.0,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
06415,1,1.0,712050.0,712050.0,0.0
06415,1,1.0,948150.0,948150.0,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
04101,1,1.0,18935781.0561,18935781.0561,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
05120,1,1.0,5285419.8565,5285419.8565,0.0
06110,1,1.0,2158334.4446,2158334.4446,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
13130,1,1.0,1036375.8678,1036375.8678,0.0
06413,1,1.0,1542300.0,1542300.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
06110,1,1.0,2158334.4446,2158334.4446,0.0
04120,1,1.0,2202500.9466,2202500.9466,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
06418,1,1.0,730800.0,730800.0,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
06418,1,1.0,1644300.0,1644300.0,0.0
06150,1,1.0,986870.5578,986870.5578,0.0
06111,1,1.0,1395370.256,1395370.256,0.0
06416,1,1.0,1397700.0,1397700.0,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06130,1,1.0,2167232.4578,2167232.4578,0.0
06140,1,1.0,2115785.7632,2115785.7632,0.0
06418,1,1.0,730800.0,730800.0,0.0
09130,1,1.0,7156105.8008,7156105.8008,0.0
06120,1,1.0,2020657.9127,2020657.9127,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06418,1,1.0,730800.0,730800.0,0.0
06150,1,1.0,1438242.5015,1438242.5015,0.0
04101,1,1.0,18935781.0561,18935781.0561,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
06140,1,1.0,3693160.8351,3693160.8351,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06140,1,1.0,3693160.8351,3693160.8351,0.0
06140,1,1.0,2115785.7632,2115785.7632,0.0
06418,1,1.0,1010400.0,1010400.0,0.0
06150,1,1.0,2467499.9587,2467499.9587,0.0
07410,1,1.0,1037700.0,1037700.0,0.0
07413,1,1.0,1065150.0,1065150.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
07410,1,1.0,1757700.0,1757700.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
07413,1,1.0,1065150.0,1065150.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
05120,1,1.0,5285419.8565,5285419.8565,0.0
07110,1,1.0,2897840.2348,2897840.2348,0.0
07110,1,1.0,3919493.9352,3919493.9352,0.0
06120,1,1.0,2585115.5154,2585115.5154,0.0
04101,1,1.0,18935781.0561,18935781.0561,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
07111,1,1.0,3136306.9892,3136306.9892,0.0
09140,1,1.0,2369460.0312,2369460.0312,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
07113,1,1.0,2605500.0548,2605500.0548,0.0
07113,1,1.0,2605500.0548,2605500.0548,0.0
07113,1,1.0,1535958.8649,1535958.8649,0.0
07111,1,1.0,3136306.9892,3136306.9892,0.0
05120,1,1.0,2520564.474,2520564.474,0.0
07114,1,1.0,1855963.777,1855963.777,0.0
06120,1,1.0,2585115.5154,2585115.5154,0.0
07114,1,1.0,1855963.777,1855963.777,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
07110,1,1.0,8517178.2603,8517178.2603,0.0
07111,1,1.0,2217546.6781,2217546.6781,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
07414,1,1.0,1724250.0,1724250.0,0.0
07412,1,1.0,807150.0,807150.0,0.0
04120,1,1.0,3417322.4251,3417322.4251,0.0
07113,1,1.0,1949312.0248,1949312.0248,0.0
06130,1,1.0,1187803.8747,1187803.8747,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
07114,1,1.0,1855963.777,1855963.777,0.0
07412,1,1.0,1061250.0,1061250.0,0.0
07412,1,1.0,1862400.0,1862400.0,0.0
06130,1,1.0,4311491.8634,4311491.8634,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06112,1,1.0,1670237.9736,1670237.9736,0.0
06120,1,1.0,2020657.9127,2020657.9127,0.0
06418,1,1.0,730800.0,730800.0,0.0
13130,1,1.0,1036375.8678,1036375.8678,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06120,1,1.0,5767045.0451,5767045.0451,0.0
06418,1,1.0,1010400.0,1010400.0,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04102,1,1.0,9416848.2886,9416848.2886,0.0
04101,1,1.0,18935781.0561,18935781.0561,0.0
06120,1,1.0,2020657.9127,2020657.9127,0.0
