CÃ³digo,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
O70.0,779,11.0,483243.0092,1352659.7925,869416.7833
O80.0,471,7.0,483243.0092,870387.4756,387144.46640000003
U07.1,327,9.0,559765.923,18935781.0561,18376015.1331
O34.2,304,5.0,442650.0,1324509.7143,881859.7143000001
E11.5,215,15.0,702450.0,18935781.0561,18233331.0561
K35.8,208,8.0,730800.0,5767045.0451,5036245.0451
N10,189,10.0,638700.0,9416848.2886,8778148.2886
K80.2,184,15.0,869850.0,18935781.0561,18065931.0561
N39.0,180,7.0,638700.0,9416848.2886,8778148.2886
I63.8,166,5.0,1060200.0,18935781.0561,17875581.0561
I50.0,162,8.0,712050.0,9416848.2886,8704798.2886
Z76.2,160,3.0,158250.0,609600.0,451350.0
J44.1,137,7.0,730350.0,18935781.0561,18205431.0561
O24.4,133,11.0,442650.0,929276.145,486626.145
K92.2,130,9.0,730800.0,18935781.0561,18204981.0561
K80.0,129,8.0,869850.0,2691244.5458,1821394.5458
J18.9,126,8.0,612600.0,18935781.0561,18323181.0561
I50.1,121,7.0,712050.0,9416848.2886,8704798.2886
E88.1,114,4.0,1592744.3675,2957214.2503,1364469.8828
K81.0,103,12.0,869850.0,9416848.2886,8546998.2886
P59.9,101,10.0,158250.0,5512350.0,5354100.0
I21.9,98,7.0,877950.0,9416848.2886,8538898.2886
O98.5,97,5.0,771700.4198,1823930.9294,1052230.5096
A09.9,97,5.0,646050.0,9416848.2886,8770798.2886
O68.0,97,3.0,833986.5124,1324509.7143,490523.2019000001
S00.9,97,3.0,810150.0,1417500.0,607350.0
O06.4,96,5.0,452400.0,1823930.9294,1371530.9294
J20.9,92,3.0,630450.0,1444200.0,813750.0
J96.09,90,9.0,715800.0,18935781.0561,18219981.0561
E66.8,85,3.0,861000.0,2585115.5154,1724115.5154
J21.9,83,4.0,158250.0,873150.0,714900.0
I26.9,81,6.0,944550.0,9416848.2886,8472298.2886
D25.9,77,12.0,790050.0,1818915.6855,1028865.6854999999
J46,76,4.0,517800.0,9416848.2886,8899048.2886
P22.1,74,15.0,158250.0,11081850.0,10923600.0
O70.1,72,4.0,502980.4204,771700.4198,268719.99940000003
O14.1,71,8.0,442650.0,1324509.7143,881859.7143000001
U07.2,68,5.0,1434150.0,18935781.0561,17501631.0561
K70.4,67,5.0,778500.0,3417322.4251,2638822.4251
J12.9,62,3.0,612600.0,1549200.0,936600.0
O32.1,61,5.0,442650.0,1324509.7143,881859.7143000001
K35.3,60,8.0,1196863.67,9416848.2886,8219984.6186
K72.1,60,4.0,1065150.0,9416848.2886,8351698.2886
O36.5,59,10.0,442650.0,1324509.7143,881859.7143000001
K80.8,58,6.0,869850.0,3136306.9892,2266456.9892
O82.0,57,2.0,833986.5124,929276.145,95289.63260000001
J15.9,57,4.0,612600.0,9416848.2886,8804248.2886
K85.1,56,8.0,807150.0,3417322.4251,2610172.4251
S06.20,56,3.0,993000.0,2208600.0,1215600.0
O02.1,56,5.0,452400.0,1823930.9294,1371530.9294
A41.9,55,9.0,835800.0,18935781.0561,18099981.0561
K40.9,55,7.0,730800.0,2495164.6907,1764364.6907000002
O23.0,54,3.0,442650.0,906900.0,464250.0
O60.0,53,5.0,466050.0,2179042.5481,1712992.5480999998
K37,52,7.0,730800.0,5767045.0451,5036245.0451
O42.0,51,10.0,483243.0092,1324509.7143,841266.7051000001
I20.0,50,4.0,663600.0,2779739.3319,2116139.3319
N17.9,50,7.0,706050.0,18935781.0561,18229731.0561
O03.4,49,5.0,452400.0,1823930.9294,1371530.9294
P59.8,49,5.0,158250.0,1479600.0,1321350.0
K57.3,48,5.0,798450.0,5767045.0451,4968595.0451
K80.5,48,9.0,869850.0,3136306.9892,2266456.9892
P70.4,47,8.0,158250.0,2856747.5919,2698497.5919
E11.1,47,4.0,598500.0,9416848.2886,8818348.2886
O62.1,46,6.0,483243.0092,1324509.7143,841266.7051000001
O33.5,46,5.0,483243.0092,1324509.7143,841266.7051000001
P22.0,45,17.0,316650.0,20048841.6197,19732191.6197
E10.1,44,4.0,598500.0,9416848.2886,8818348.2886
E66.9,43,3.0,2020657.9127,2691244.5458,670586.6331
N13.2,43,9.0,590250.0,2108020.2244,1517770.2244000002
K85.9,42,5.0,807150.0,9416848.2886,8609698.2886
J12.1,42,3.0,612600.0,1549200.0,936600.0
N40,42,11.0,590250.0,3693160.8351,3102910.8351
N20.0,41,7.0,590250.0,2879882.4262,2289632.4262
C50.9,41,9.0,894000.0,2716320.7649,1822320.7648999998
N20.1,41,8.0,590250.0,2677007.7247,2086757.7247000001
O61.0,41,4.0,483243.0092,1324509.7143,841266.7051000001
L03.1,40,5.0,628950.0,18935781.0561,18306831.0561
O03.9,40,5.0,452400.0,1823930.9294,1371530.9294
P28.8,39,5.0,158250.0,1444200.0,1285950.0
I63.5,39,3.0,1060200.0,2002950.0,942750.0
N18.5,37,4.0,706050.0,9416848.2886,8710798.2886
A08.0,37,3.0,646050.0,1086450.0,440400.0
O34.3,37,6.0,442650.0,2179042.5481,1736392.5480999998
O68.2,36,4.0,483243.0092,929276.145,446033.13580000005
F32.2,36,3.0,618600.0,1128900.0,510300.0
T42.4,35,3.0,606900.0,1205550.0,598650.0
N61,35,7.0,538500.0,2716320.7649,2177820.7649
O13,34,7.0,442650.0,1036375.8678,593725.8678
O69.8,34,5.0,483243.0092,929276.145,446033.13580000005
O68.1,34,8.0,483243.0092,1324509.7143,841266.7051000001
O60.1,34,6.0,483243.0092,1324509.7143,841266.7051000001
J69.0,34,5.0,1434150.0,18935781.0561,17501631.0561
K43.9,33,6.0,1313993.8805,2158334.4446,844340.5641000001
N81.3,32,4.0,1036375.8678,1376118.191,339742.3232000001
K80.3,31,11.0,869850.0,9416848.2886,8546998.2886
O99.6,31,11.0,442650.0,2691244.5458,2248594.5458
P59.0,31,8.0,158250.0,4218900.0,4060650.0
J21.0,31,4.0,517800.0,3417322.4251,2899522.4251
C64,30,6.0,706050.0,3791847.8909,3085797.8909
O00.1,30,4.0,1152535.3859,9416848.2886,8264312.9026999995
G40.9,30,6.0,762900.0,9416848.2886,8653948.2886
C16.9,29,7.0,1327500.0,5767045.0451,4439545.0451
F20.9,29,3.0,1023600.0,1367250.0,343650.0
N83.2,28,7.0,658950.0,1818915.6855,1159965.6855
S09.9,28,2.0,993000.0,1377750.0,384750.0
N93.8,28,8.0,658950.0,1376118.191,717168.1910000001
T81.4,28,11.0,832800.0,18935781.0561,18102981.0561
D64.9,28,3.0,697800.0,1358250.0,660450.0
K56.5,27,15.0,712050.0,18935781.0561,18223731.0561
T42.6,27,4.0,606900.0,3417322.4251,2810422.4251
S06.90,27,5.0,993000.0,3417322.4251,2424322.4251
I80.2,27,4.0,599700.0,9416848.2886,8817148.2886
O66.4,27,3.0,833986.5124,1324509.7143,490523.2019000001
O11,27,7.0,442650.0,2179042.5481,1736392.5480999998
P22.8,26,12.0,158250.0,11081850.0,10923600.0
T81.3,26,15.0,691500.0,18935781.0561,18244281.0561
A41.8,26,6.0,1148250.0,9416848.2886,8268598.2886
I48.9,26,5.0,648750.0,9416848.2886,8768098.2886
R56.8,26,5.0,762900.0,2202500.9466,1439600.9466
O41.0,25,8.0,442650.0,1324509.7143,881859.7143000001
K61.0,25,3.0,986870.5578,1644300.0,657429.4422
J20.5,25,2.0,630450.0,1444200.0,813750.0
O99.8,25,8.0,442650.0,1650338.7804,1207688.7804
P21.1,25,12.0,158250.0,5512350.0,5354100.0
I50.9,24,4.0,712050.0,2779739.3319,2067689.3319
N75.1,24,4.0,711300.0,1243133.3388,531833.3388
L89.3,24,6.0,728700.0,5767045.0451,5038345.0451
D39.1,24,6.0,658950.0,2585115.5154,1926165.5154
N64.2,23,4.0,1592744.3675,2369460.0312,776715.6637000002
I48.0,23,3.0,648750.0,1262100.0,613350.0
P55.1,23,4.0,158250.0,751800.0,593550.0
I77.1,23,7.0,702450.0,3858825.6632,3156375.6632
K83.1,23,6.0,869850.0,8517178.2603,7647328.260299999
O45.9,23,4.0,579665.1162,1324509.7143,744844.5981000001
N93.9,23,7.0,658950.0,1823930.9294,1164980.9294
T87.4,23,9.0,781200.0,10220581.556,9439381.556
I21.4,23,5.0,877950.0,3702220.6304,2824270.6304
N85.0,22,7.0,790050.0,1376118.191,586068.1910000001
K42.0,22,4.0,1313993.8805,2755148.459,1441154.5784999998
A09.0,22,3.0,646050.0,1086450.0,440400.0
K42.9,22,6.0,730800.0,2755148.459,2024348.4589999998
N80.0,22,6.0,790050.0,1818915.6855,1028865.6854999999
G45.9,21,3.0,843900.0,1180200.0,336300.0
O10.0,21,3.0,442650.0,833986.5124,391336.5124
T39.1,21,4.0,606900.0,3417322.4251,2810422.4251
I62.9,21,5.0,1356450.0,9416848.2886,8060398.2886
R51,21,2.0,759600.0,921150.0,161550.0
F29,21,3.0,1023600.0,2202500.9466,1178900.9466
F31.9,21,4.0,728100.0,9416848.2886,8688748.2886
J81,21,4.0,630450.0,9416848.2886,8786398.2886
F32.9,21,2.0,489300.0,541950.0,52650.0
P07.3,21,5.0,158250.0,11081850.0,10923600.0
K35.2,20,7.0,1064100.0,9416848.2886,8352748.2886
J90,20,6.0,795900.0,4405487.2394,3609587.2394000003
I10,20,5.0,679800.0,18935781.0561,18255981.0561
O99.3,20,6.0,442650.0,1036375.8678,593725.8678
N45.9,20,3.0,590250.0,1363499.1904,773249.1904
O42.9,20,5.0,442650.0,1324509.7143,881859.7143000001
J96.00,20,6.0,715800.0,18935781.0561,18219981.0561
O14.0,19,7.0,442650.0,929276.145,486626.145
O26.0,19,5.0,442650.0,833986.5124,391336.5124
C67.9,19,7.0,1064525.946,4153107.2279,3088581.2819
I21.1,19,4.0,877950.0,7156105.8008,6278155.8008
J84.1,19,3.0,1181850.0,3417322.4251,2235472.4251
I44.2,19,11.0,648750.0,9416848.2886,8768098.2886
I21.0,19,4.0,877950.0,9416848.2886,8538898.2886
O00.9,19,4.0,442650.0,1818915.6855,1376265.6855
O64.0,19,3.0,833986.5124,1324509.7143,490523.2019000001
R50.9,18,2.0,528150.0,853350.0,325200.0
O32.2,18,3.0,833986.5124,1324509.7143,490523.2019000001
O99.0,18,8.0,442650.0,929276.145,486626.145
T43.5,18,3.0,606900.0,1205550.0,598650.0
O83.8,18,3.0,483243.0092,808910.2933,325667.28410000005
N39.3,18,2.0,1036375.8678,1243133.3388,206757.47100000002
I85.0,18,5.0,688050.0,9416848.2886,8728798.2886
K92.0,17,5.0,730800.0,9416848.2886,8686048.2886
N76.4,17,6.0,711300.0,2179042.5481,1467742.5480999998
F23.9,17,3.0,1023600.0,1367250.0,343650.0
O61.9,17,2.0,833986.5124,929276.145,95289.63260000001
T43.0,17,5.0,606900.0,9416848.2886,8809948.2886
K80.4,17,7.0,869850.0,9416848.2886,8546998.2886
O46.9,17,8.0,442650.0,2179042.5481,1736392.5480999998
P05.1,17,9.0,158250.0,4218900.0,4060650.0
D25.0,17,4.0,658950.0,2302482.2589,1643532.2588999998
T81.0,16,10.0,691500.0,9416848.2886,8725348.2886
S27.21,16,7.0,0.0,18935781.0561,18935781.0561
E87.1,16,3.0,483900.0,1080900.0,597000.0
E11.7,16,11.0,598500.0,9416848.2886,8818348.2886
D50.8,16,3.0,697800.0,1358250.0,660450.0
O06.9,16,4.0,452400.0,1079733.4595,627333.4595000001
O99.5,16,7.0,442650.0,9416848.2886,8974198.2886
I46.0,16,6.0,867900.0,18935781.0561,18067881.0561
N70.9,16,8.0,711300.0,3415704.6045,2704404.6045
Z51.4,16,4.0,576000.0,3618579.3061,3042579.3061
S27.00,16,4.0,795900.0,18935781.0561,18139881.0561
T71,16,5.0,600900.0,18935781.0561,18334881.0561
F31.6,16,3.0,728100.0,1134150.0,406050.0
O36.6,16,6.0,442650.0,929276.145,486626.145
C20,16,5.0,1327500.0,5767045.0451,4439545.0451
N20.2,16,5.0,590250.0,1769572.1576,1179322.1576
K62.5,16,3.0,730800.0,1644300.0,913500.0
Z43.3,15,5.0,1010400.0,2585115.5154,1574715.5154
N62,15,5.0,1592744.3675,2369460.0312,776715.6637000002
D27,15,3.0,1152535.3859,1554887.3658,402351.9798999999
Z30.2,14,4.0,743712.1237,1152535.3859,408823.2622000001
O46.8,14,5.0,442650.0,929276.145,486626.145
D25.1,14,5.0,790050.0,2879882.4262,2089832.4262
K57.9,14,2.0,798450.0,1020000.0,221550.0
C61,13,4.0,847737.9874,2032629.785,1184891.7976
L02.2,13,7.0,628950.0,3693160.8351,3064210.8351
D29.1,13,6.0,847737.9874,2032629.785,1184891.7976
K55.0,12,5.0,938250.0,9416848.2886,8478598.2886
T39.3,12,4.0,606900.0,3417322.4251,2810422.4251
L02.3,12,5.0,628950.0,7156105.8008,6527155.8008
I21.2,12,4.0,877950.0,9416848.2886,8538898.2886
R55,12,2.0,773700.0,895800.0,122100.0
J44.8,12,3.0,730350.0,3417322.4251,2686972.4251
S02.00,12,4.0,993000.0,2208600.0,1215600.0
K56.6,12,8.0,712050.0,9416848.2886,8704798.2886
J12.3,12,3.0,1549200.0,9416848.2886,7867648.2886
P00.2,12,5.0,158250.0,3945300.0,3787050.0
N81.1,12,3.0,1036375.8678,1243133.3388,206757.47100000002
C23,12,4.0,1445850.0,9416848.2886,7970998.2886
N83.1,12,5.0,658950.0,2520564.474,1861614.474
R10.4,12,2.0,646050.0,821250.0,175200.0
P21.0,12,9.0,158250.0,11081850.0,10923600.0
J22,12,3.0,630450.0,1444200.0,813750.0
K82.8,12,3.0,869850.0,1855963.777,986113.777
E11.6,12,3.0,598500.0,1312950.0,714450.0
L89.9,12,8.0,728700.0,7156105.8008,6427405.8008
Z03.8,11,4.0,158250.0,1949312.0248,1791062.0248
I46.9,11,5.0,934650.0,3417322.4251,2482672.4251
T43.2,11,2.0,606900.0,744000.0,137100.0
J18.1,11,3.0,925800.0,3417322.4251,2491522.4251
K70.1,11,3.0,778500.0,1757700.0,979200.0
L90.5,11,3.0,1592744.3675,2957214.2503,1364469.8828
O33.9,11,2.0,833986.5124,1324509.7143,490523.2019000001
F25.9,11,4.0,516408.3313,1367250.0,850841.6687
D06.9,11,5.0,985050.0,2179042.5481,1193992.5480999998
K43.2,11,4.0,730800.0,5767045.0451,5036245.0451
P39.9,11,6.0,609600.0,3945300.0,3335700.0
T81.2,11,8.0,1152535.3859,9416848.2886,8264312.9026999995
J93.1,11,4.0,795900.0,3261526.3026,2465626.3026
K57.2,11,7.0,798450.0,9416848.2886,8618398.2886
I47.1,11,3.0,648750.0,1262100.0,613350.0
N84.0,11,5.0,658950.0,1818915.6855,1159965.6855
D41.0,11,4.0,769350.0,2108020.2244,1338670.2244000002
K83.0,11,5.0,869850.0,2585115.5154,1715265.5154
J21.1,10,2.0,517800.0,873150.0,355350.0
O36.4,10,6.0,483243.0092,1352659.7925,869416.7833
C34.9,10,2.0,1973550.0,6758769.0647,4785219.0647
C18.7,10,6.0,2020657.9127,5767045.0451,3746387.1323999995
I71.0,10,3.0,702450.0,1465650.0,763200.0
N80.1,10,5.0,658950.0,3693160.8351,3034210.8351
O23.1,10,1.0,442650.0,442650.0,0.0
K85.8,10,4.0,807150.0,1862400.0,1055250.0
N83.5,10,3.0,658950.0,1376118.191,717168.1910000001
F20.0,10,3.0,1023600.0,1367250.0,343650.0
O99.2,10,6.0,442650.0,929276.145,486626.145
E86,10,3.0,483900.0,1080900.0,597000.0
S06.60,10,3.0,993000.0,2208600.0,1215600.0
P39.1,10,3.0,158250.0,910650.0,752400.0
K61.2,10,4.0,730800.0,1438242.5015,707442.5015
J10.0,10,3.0,925800.0,9416848.2886,8491048.2886
N73.9,10,4.0,711300.0,1818915.6855,1107615.6855
C19,9,5.0,991950.0,9416848.2886,8424898.2886
T82.7,9,2.0,1207200.0,2224350.0,1017150.0
I83.2,9,4.0,702450.0,1591288.329,888838.3289999999
Z43.2,9,5.0,730800.0,2585115.5154,1854315.5154
O14.9,9,6.0,442650.0,1324509.7143,881859.7143000001
K25.1,9,3.0,2020657.9127,9416848.2886,7396190.375899999
K44.9,9,3.0,1758409.1956,2585115.5154,826706.3197999999
F31.2,9,3.0,728100.0,1455714.9638,727614.9638
O85,9,4.0,468600.0,1823930.9294,1355330.9294
R00.1,9,4.0,648750.0,4153107.2279,3504357.2279
P07.1,9,6.0,609600.0,4218900.0,3609300.0
O63.1,9,3.0,833986.5124,1324509.7143,490523.2019000001
E11.9,9,5.0,598500.0,2272552.578,1674052.5780000002
K21.9,9,4.0,688050.0,2020657.9127,1332607.9127
J00,9,2.0,455850.0,656700.0,200850.0
O24.1,9,3.0,442650.0,1324509.7143,881859.7143000001
S27.01,9,2.0,795900.0,1189650.0,393750.0
K22.2,9,3.0,688050.0,1498650.0,810600.0
G40.8,9,2.0,762900.0,955500.0,192600.0
O82.1,9,3.0,833986.5124,1324509.7143,490523.2019000001
O81.3,8,3.0,483243.0092,579665.1162,96422.10700000008
K43.0,8,3.0,1010400.0,1670237.9736,659837.9735999999
O44.1,8,5.0,442650.0,1324509.7143,881859.7143000001
N70.0,8,5.0,711300.0,3693160.8351,2981860.8351
E16.0,8,3.0,732750.0,1654500.0,921750.0
F32.3,8,2.0,618600.0,702300.0,83700.0
O70.9,8,4.0,483243.0092,771700.4198,288457.41060000006
T42.1,8,3.0,606900.0,1205550.0,598650.0
E87.5,8,2.0,730800.0,1080900.0,350100.0
O68.9,8,3.0,559765.923,1324509.7143,764743.7913000002
O14.2,8,4.0,833986.5124,1324509.7143,490523.2019000001
P21.9,8,7.0,609600.0,3945300.0,3335700.0
F09,8,3.0,872700.0,1262400.0,389700.0
O65.4,8,2.0,833986.5124,929276.145,95289.63260000001
C25.0,8,4.0,1145550.0,3919493.9352,2773943.9352
I44.1,8,5.0,848850.0,4428945.6379,3580095.6379000004
K59.0,8,2.0,730800.0,1010400.0,279600.0
K40.3,8,4.0,1092999.5883,9416848.2886,8323848.7003
J12.8,8,2.0,612600.0,1549200.0,936600.0
Z01.7,8,2.0,576000.0,1630050.0,1054050.0
T43.3,8,2.0,606900.0,744000.0,137100.0
R41.8,8,4.0,632400.0,1684636.5769,1052236.5769
A08.4,8,3.0,646050.0,1554887.3658,908837.3658
N17.8,8,3.0,706050.0,1769850.0,1063800.0
P70.0,8,3.0,158250.0,3945300.0,3787050.0
F31.8,8,3.0,728100.0,1134150.0,406050.0
I25.1,8,2.0,778800.0,1143750.0,364950.0
S36.41,7,5.0,1538385.5958,18935781.0561,17397395.4603
R41.0,7,2.0,632400.0,830400.0,198000.0
K72.0,7,4.0,1065150.0,9416848.2886,8351698.2886
I31.3,7,5.0,712800.0,6758769.0647,6045969.0647
S61.9,7,2.0,810150.0,927000.0,116850.0
L89.2,7,3.0,728700.0,2287800.0,1559100.0
R31,7,2.0,553200.0,769950.0,216750.0
N23,7,2.0,590250.0,789000.0,198750.0
A04.7,7,3.0,730800.0,1644300.0,913500.0
N21.0,7,5.0,590250.0,2677007.7247,2086757.7247000001
R56.0,7,2.0,762900.0,1341300.0,578400.0
N13.3,7,3.0,590250.0,1416078.3595,825828.3595
K92.1,7,3.0,730800.0,9416848.2886,8686048.2886
